Price,Close
Ticker,HCLTECH.NS
Date,
2010-01-04,66.21903991699219
2010-01-05,67.70897674560547
2010-01-06,65.66585540771484
2010-01-07,64.26506805419922
2010-01-08,62.76621627807617
2010-01-11,63.39072799682617
2010-01-12,65.63909149169922
2010-01-13,67.44134521484375
2010-01-14,66.04055786132812
2010-01-15,65.9156723022461
2010-01-18,67.19149780273438
2010-01-19,67.2361068725586
2010-01-20,67.98556518554688
2010-01-21,66.11192321777344
2010-01-22,68.2800064086914
2010-01-25,64.45244598388672
2010-01-27,58.92081832885742
2010-01-28,61.98106384277344
2010-01-29,62.06160354614258
2010-02-01,62.22264862060547
2010-02-02,61.229434967041016
2010-02-03,62.44636917114258
2010-02-04,60.334686279296875
2010-02-05,60.334686279296875
2010-02-06,60.74628448486328
2010-02-08,61.13103485107422
2010-02-09,62.05263137817383
2010-02-10,62.294246673583984
2010-02-11,62.428466796875
2010-02-15,64.6743392944336
2010-02-16,64.54905700683594
2010-02-17,64.74590301513672
2010-02-18,64.54905700683594
2010-02-19,64.94276428222656
2010-02-22,65.16644287109375
2010-02-23,64.9696044921875
2010-02-24,65.39910125732422
2010-02-25,65.80176544189453
2010-02-26,65.69438934326172
2010-03-02,65.29176330566406
2010-03-03,65.19328308105469
2010-03-04,64.83540344238281
2010-03-05,64.2806167602539
2010-03-08,64.31643676757812
2010-03-09,64.66539764404297
2010-03-10,64.07481384277344
2010-03-11,64.49536895751953
2010-03-12,64.52220916748047
2010-03-15,66.06124114990234
2010-03-16,66.76812744140625
2010-03-17,68.30713653564453
2010-03-18,67.2602310180664
2010-03-19,66.93811798095703
2010-03-22,66.0433349609375
2010-03-23,65.69438934326172
2010-03-25,66.669677734375
2010-03-26,66.34756469726562
2010-03-29,66.31178283691406
2010-03-30,64.29855346679688
2010-03-31,64.13746643066406
2010-04-01,63.87797164916992
2010-04-05,64.56697082519531
2010-04-06,62.079498291015625
2010-04-07,62.016845703125
2010-04-08,61.75736999511719
2010-04-09,61.48893356323242
2010-04-12,61.73946762084961
2010-04-13,63.842201232910156
2010-04-15,63.8332405090332
2010-04-16,62.93849182128906
2010-04-19,62.4373779296875
2010-04-20,61.802101135253906
2010-04-21,66.9112548828125
2010-04-22,68.44136047363281
2010-04-23,69.39875793457031
